,spinup
0,7.48079145409e-06
1,7.46727967099e-06
2,7.45384836317e-06
3,7.44011679798e-06
4,7.4262543413e-06
5,7.41189045495e-06
6,7.39783876408e-06
7,7.38359170515e-06
8,7.36889720324e-06
9,7.35418827361e-06
10,7.3406147308e-06
11,7.3264031345e-06
12,7.31251303322e-06
13,7.29927564938e-06
14,7.28526468339e-06
15,7.27141778515e-06
16,7.25760331851e-06
17,7.24421510998e-06
18,7.23032411075e-06
19,7.21655253991e-06
20,7.20360072608e-06
21,7.19005196523e-06
22,7.177744826e-06
23,7.16582058405e-06
24,7.15336306267e-06
25,7.14165621529e-06
26,7.1304969673e-06
27,7.11924866372e-06
28,7.10901661294e-06
29,7.09867658884e-06
30,7.08948727709e-06
31,7.08000923144e-06
32,7.0720836073e-06
33,7.06500019617e-06
34,7.05854989141e-06
35,7.053975344e-06
36,7.04972077283e-06
37,7.04693983353e-06
38,7.04577557001e-06
39,7.04606526103e-06
40,7.04787538692e-06
41,7.0530448679e-06
42,7.06033237148e-06
43,7.07192661186e-06
44,7.08926355039e-06
45,7.1163480854e-06
46,7.14449719366e-06
47,7.17096385463e-06
48,7.1994260501e-06
49,7.22755706923e-06
50,7.25510451708e-06
51,7.2824958375e-06
52,7.31092600672e-06
53,7.33843372578e-06
54,7.36633671815e-06
55,7.39395118221e-06
56,7.42118976445e-06
57,7.44914446714e-06
58,7.47637837057e-06
59,7.50373823006e-06
60,7.53142724326e-06
61,7.5586567452e-06
62,7.58706008809e-06
63,7.61431388064e-06
64,7.64200944376e-06
65,7.66989171763e-06
66,7.6968130949e-06
67,7.72474434445e-06
68,7.75167375408e-06
69,7.77850751377e-06
70,7.80556582272e-06
71,7.83154838453e-06
72,7.85842564792e-06
73,7.88482770305e-06
74,7.91195927698e-06
75,7.93887772979e-06
76,7.96498862887e-06
77,7.99096556437e-06
78,8.01676689647e-06
79,8.04206784036e-06
80,8.06672777875e-06
81,8.09124763436e-06
82,8.11629540918e-06
83,8.1397360125e-06
84,8.16312784718e-06
85,8.1863280247e-06
86,8.20806381863e-06
87,8.2297474516e-06
88,8.25133818508e-06
89,8.27094445381e-06
90,8.28967242154e-06
91,8.30740688452e-06
92,8.32417140842e-06
93,8.3397293168e-06
94,8.3521960655e-06
95,8.36327874466e-06
96,8.37036158822e-06
97,8.37509190605e-06
98,8.37486588963e-06
99,8.36967928527e-06
